Line Number,Record Type,Status,Details,Error
1,O,Failed,New Organization,Organization already exists: New Organization
2,D,Failed,Joe Driver (me@email.com),"Database error: (pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'jdriver', 'PASS': '$2b$12$ugNQoeaJTLj8ot/WqjPeju0WM93c7O81G4mSiHvlzxElxaQ/X/zvK', 'USER_TYPE': 'driver', 'FNAME': 'Joe', 'LNAME': 'Driver', 'EMAIL': 'me@email.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 45, 722737), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
2,D,Failed,"['D', 'New Organization', 'Joe', 'Driver', 'me@email.com']","(pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'jdriver', 'PASS': '$2b$12$ugNQoeaJTLj8ot/WqjPeju0WM93c7O81G4mSiHvlzxElxaQ/X/zvK', 'USER_TYPE': 'driver', 'FNAME': 'Joe', 'LNAME': 'Driver', 'EMAIL': 'me@email.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 45, 722737), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
3,S,Failed,Jill Sponsor (jill@mail.com),"Database error: (pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'jsponsor', 'PASS': '$2b$12$vEvc4NUj8xquDBnxCUgNjeXJzuMLgwlCxdX93PyP8mWZbKdGKiaku', 'USER_TYPE': 'sponsor', 'FNAME': 'Jill', 'LNAME': 'Sponsor', 'EMAIL': 'jill@mail.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 46, 126656), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
3,S,Failed,"['S', 'New Organization', 'Jill', 'Sponsor', 'jill@mail.com']","(pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'jsponsor', 'PASS': '$2b$12$vEvc4NUj8xquDBnxCUgNjeXJzuMLgwlCxdX93PyP8mWZbKdGKiaku', 'USER_TYPE': 'sponsor', 'FNAME': 'Jill', 'LNAME': 'Sponsor', 'EMAIL': 'jill@mail.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 46, 126656), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
4,D,Failed,"['D', 'This is', 'AN ERROR', 'x@y.com']",Insufficient data for driver record. Format: D|Organization|FirstName|LastName|Email
5,D,Failed,Tom Smith (tom887@gmail.com),"Database error: (pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'tsmith', 'PASS': '$2b$12$K.9InlXvmh3YAX4CjPEsyu06L9ZxhwHzUJwZPM4.8TIYm6Bce9Nhq', 'USER_TYPE': 'driver', 'FNAME': 'Tom', 'LNAME': 'Smith', 'EMAIL': 'tom887@gmail.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 46, 486368), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
5,D,Failed,"['D', 'Existing Organization', 'Tom', 'Smith', 'tom887@gmail.com']","(pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'tsmith', 'PASS': '$2b$12$K.9InlXvmh3YAX4CjPEsyu06L9ZxhwHzUJwZPM4.8TIYm6Bce9Nhq', 'USER_TYPE': 'driver', 'FNAME': 'Tom', 'LNAME': 'Smith', 'EMAIL': 'tom887@gmail.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 46, 486368), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
6,O,Failed,NewOrganization2,Organization already exists: NewOrganization2
7,D,Failed,New Driver (some@email.com),"Database error: (pymysql.err.IntegrityError) (1062, ""Duplicate entry '0' for key 'USERS.PRIMARY'"")
[SQL: INSERT INTO `USERS` (`USERNAME`, `PASS`, `USER_TYPE`, `FNAME`, `LNAME`, `EMAIL`, `CREATED_AT`, `POINTS`, `PHONE`, `LOCKED_REASON`, wants_point_notifications, wants_order_notifications, `IS_ACTIVE`, `FAILED_ATTEMPTS`, `LOCKOUT_TIME`, `RESET_TOKEN`, `RESET_TOKEN_CREATED_AT`, `IS_LOCKED_OUT`) VALUES (%(USERNAME)s, %(PASS)s, %(USER_TYPE)s, %(FNAME)s, %(LNAME)s, %(EMAIL)s, %(CREATED_AT)s, %(POINTS)s, %(PHONE)s, %(LOCKED_REASON)s, %(wants_point_notifications)s, %(wants_order_notifications)s, %(IS_ACTIVE)s, %(FAILED_ATTEMPTS)s, %(LOCKOUT_TIME)s, %(RESET_TOKEN)s, %(RESET_TOKEN_CREATED_AT)s, %(IS_LOCKED_OUT)s)]
[parameters: {'USERNAME': 'ndriver', 'PASS': '$2b$12$5BJ51VyTI8H6ncaCDRbqxOeRFN9LGqh.fT3npLXef0T9AVt0ODLve', 'USER_TYPE': 'driver', 'FNAME': 'New', 'LNAME': 'Driver', 'EMAIL': 'some@email.com', 'CREATED_AT': datetime.datetime(2025, 10, 21, 12, 5, 46, 881003), 'POINTS': 0, 'PHONE': None, 'LOCKED_REASON': None, 'wants_point_notifications': 1, 'wants_order_notifications': 1, 'IS_ACTIVE': 1, 'FAILED_ATTEMPTS': 0, 'LOCKOUT_TIME': None, 'RESET_TOKEN': None, 'RESET_TOKEN_CREATED_AT': None, 'IS_LOCKED_OUT': 0}]
(Background on this error at: https://sqlalche.me/e/20/gkpj)"
