Line Number,Record Type,Status,Details,Error
1,O,Failed,New Organization,Organization already exists: New Organization
2,D,Failed,Joe Driver (me@email.com),Database error: 'Bcrypt' object has no attribute 'hashpw'
2,D,Failed,"['D', 'New Organization', 'Joe', 'Driver', 'me@email.com']",'Bcrypt' object has no attribute 'hashpw'
3,S,Failed,Jill Sponsor (jill@mail.com),Database error: 'Bcrypt' object has no attribute 'hashpw'
3,S,Failed,"['S', 'New Organization', 'Jill', 'Sponsor', 'jill@mail.com']",'Bcrypt' object has no attribute 'hashpw'
4,D,Failed,"['D', 'This is', 'AN ERROR', 'x@y.com']",Insufficient data for driver record. Format: D|Organization|FirstName|LastName|Email
5,D,Failed,Tom Smith (tom887@gmail.com),Database error: 'Bcrypt' object has no attribute 'hashpw'
5,D,Failed,"['D', 'Existing Organization', 'Tom', 'Smith', 'tom887@gmail.com']",'Bcrypt' object has no attribute 'hashpw'
6,O,Failed,NewOrganization2,Organization already exists: NewOrganization2
7,D,Failed,New Driver (some@email.com),Database error: 'Bcrypt' object has no attribute 'hashpw'
7,D,Failed,"['D', 'Existing Organization', 'New', 'Driver', 'some@email.com']",'Bcrypt' object has no attribute 'hashpw'
